candidate_id,rank,score,reasoning
CAND_0079064,11,0.736434,"Exceptional fit candidate who brings 5.2 years of expertise as Senior Data Scientist at Niramai. At Niramai, they worked on: 'Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nea...' Note: notice period is high at 120 days. Contact details are verified on the platform."
CAND_0005649,12,0.733331,"Highly qualified Senior Data Scientist with 7.4 years of production retrieval experience at Amazon. At Sarvam AI, they worked on: 'Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nea...' Contact details are verified on the platform."
CAND_0020877,13,0.732453,"Outstanding profile offering 5.1 years of experience as Applied ML Engineer, with track record at CRED. At CRED, they worked on: 'Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nea...' Contact details are verified on the platform."
CAND_0041669,14,0.731696,"Strong candidate presenting 8.0 years of engineering depth as Recommendation Systems Engineer at CRED. At CRED, they worked on: 'Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to...' Contact details are verified on the platform."
CAND_0092278,15,0.729106,"Highly recommended Senior NLP Engineer with 6.8 years of proven systems experience at Microsoft. At Microsoft, they worked on: 'Built and shipped a production recommendation system at a marketplace product, going from offline experimen...' Contact details are verified on the platform."
CAND_0068811,16,0.728933,"Exceptional fit candidate who brings 8.0 years of expertise as Applied ML Engineer at Freshworks. At Freshworks, they worked on: 'Built a content recommendation system serving 10M+ users that combined collaborative filtering with content...' Notice period is 30 days."
CAND_0017960,17,0.724267,"Highly qualified Recommendation Systems Engineer with 7.7 years of hands-on experience, including tenure at Nykaa. At Nykaa, they worked on: 'Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.' Contact details are verified on the platform."
CAND_0079387,18,0.719229,"Outstanding profile offering 6.9 years of experience as AI Engineer, with track record at Microsoft. At Microsoft, they worked on: 'Built a content recommendation system serving 10M+ users that combined collaborative filtering with content...' Note: based in Trivandrum, Kerala with no relocation preference. Notice period is 30 days with verified platform contact."
CAND_0046064,19,0.717890,"Strong candidate presenting 8.9 years of production-scale engineering depth at Amazon. At Salesforce, they worked on: 'Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, p...' Note: based in Coimbatore, Tamil Nadu with no relocation preference. Notice period is 30 days with verified platform contact."
CAND_0010257,20,0.716762,"Highly recommended Senior Data Scientist with 6.5 years of proven production-scale systems experience at Google. At Google, they worked on: 'Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration...' Note: notice period is high at 120 days. Contact details are verified on the platform."
CAND_0027691,21,0.714926,"Offers a solid background with 6.5 years of production-scale systems experience at Meta. At Haptik, they worked on: 'Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration...'"
CAND_0042506,22,0.711707,"Brings 4.2 years of technical experience as Search Engineer, with recent tenure at Verloop.io. At Verloop.io, they worked on: 'Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and ...' Note: experience of 4.2 years falls outside core range."
CAND_0002025,23,0.709873,"Demonstrates competent backend/ML execution as Senior AI Engineer over 5.9 years, with work at Apple. At Apple, they worked on: 'Built and shipped a production recommendation system at a marketplace product, going from offline experimen...' Note: based in Trivandrum, Kerala with no relocation preference."
CAND_0005260,24,0.709795,"Possesses 5.2 years of professional production engineering background at Netflix. At Netflix, they worked on: 'Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, p...'"
CAND_0042029,25,0.706707,"Competent Senior Data Scientist with 6.5 years of experience, notably shipping production features at Flipkart. At Flipkart, they worked on: 'Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.'"
CAND_0044855,26,0.706148,"Offers a solid background with 6.6 years of production-scale systems experience at Flipkart and LinkedIn. At Flipkart, they worked on: 'Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and ...'"
CAND_0086151,27,0.703368,"Brings 7.7 years of production retrieval experience as Recommendation Systems Engineer at Meta. At Wysa, they worked on: 'Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to...' Note: notice period is high at 120 days."
CAND_0041610,28,0.702639,"Demonstrates competent backend/ML execution over 6.7 years, with work at Swiggy. At Zoho, they worked on: 'Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to...'"
CAND_0026532,29,0.702402,"Possesses 4.8 years of professional production engineering background at Zomato. At Zomato, they worked on: 'Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nea...' Note: experience of 4.8 years falls outside core range."
CAND_0011687,30,0.701938,"Competent Senior NLP Engineer with 7.8 years of experience, notably shipping features at Niramai. At Niramai, they worked on: 'Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → emb...' Note: based in Indore, Madhya Pradesh with no relocation preference."
CAND_0030468,31,0.701504,"Offers a solid background with 5.4 years of production-scale systems experience at Swiggy. At Swiggy, they worked on: 'Most of the technical effort went into the boring-but-essential parts: index refresh, query understanding, ...'"
CAND_0069905,32,0.701500,"Brings 6.6 years of technical experience as Applied ML Engineer, with recent tenure at Sarvam AI. At Sarvam AI, they worked on: 'Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nea...'"
CAND_0077285,33,0.700467,"Demonstrates competent backend/ML execution over 5.5 years, with work at Netflix. At Nykaa, they worked on: 'Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.' Note: based in Ahmedabad, Gujarat with no relocation preference."
CAND_0030953,34,0.699555,"Possesses 7.8 years of professional background as Search Engineer, highlighting contributions at Nykaa. At Nykaa, they worked on: 'Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.' Note: based in Chennai, Tamil Nadu with no relocation preference."
CAND_0030348,35,0.699194,"Competent Machine Learning Engineer with 4.5 years of experience, notably shipping features at BYJU'S. At BYJU'S, they worked on: 'Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nea...' Note: experience of 4.5 years falls outside core range."
CAND_0052328,36,0.697959,"Offers a solid background with 6.5 years of production-scale systems experience at Amazon. At Amazon, they worked on: 'Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and ...'"
CAND_0083307,37,0.697479,"Brings 7.8 years of production retrieval experience as Search Engineer at Netflix. At CRED, they worked on: 'Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and ...' Note: based in Vizag, Andhra Pradesh with no relocation preference and notice period is high at 120 days."
CAND_0008425,38,0.696727,"Demonstrates competent backend/ML execution over 7.8 years, with work at Zomato and Amazon. At Ola, they worked on: 'Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items.' Note: based in Kolkata, West Bengal with no relocation preference."
CAND_0039754,39,0.696074,"Possesses 16.2 years of professional production engineering background at Meta. At Meta, they worked on: 'Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → emb...' Note: experience of 16.2 years falls outside core range."
CAND_0033861,40,0.694931,"Competent Senior NLP Engineer with 8.0 years of experience, notably shipping features at Mad Street Den. At Mad Street Den, they worked on: 'Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, p...' Note: based in Vizag, Andhra Pradesh with no relocation preference."
CAND_0011162,41,0.694818,"Offers a solid background with 5.8 years of production-scale systems experience at Google. At upGrad, they worked on: 'Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.'"
CAND_0041611,42,0.693524,"Brings 6.4 years of technical experience as Staff Machine Learning Engineer, with recent tenure at Locobuzz. At Locobuzz, they worked on: 'Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search p...'"
CAND_0068351,43,0.693196,"Demonstrates competent backend/ML execution as Lead AI Engineer over 6.4 years, with work at Sarvam AI. At Sarvam AI, they worked on: 'The work spanned data infrastructure, ranking algorithms, evaluation methodology, and direct collaboration ...'"
CAND_0061257,44,0.692564,"Possesses 8.0 years of professional production engineering background at LinkedIn. At LinkedIn, they worked on: 'Designed the ranking layer for the company's flagship product: how do we surface the right thing at the rig...'"
CAND_0074225,45,0.692121,"Competent Machine Learning Engineer with 4.3 years of experience, notably shipping features at Unacademy. At Unacademy, they worked on: 'Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.' Note: notice period is high at 120 days and experience of 4.3 years falls outside core range."
CAND_0060054,46,0.689058,"Offers a solid background with 6.4 years of production-scale systems experience at Zomato and Uber. At Mad Street Den, they worked on: 'Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nea...'"
CAND_0094759,47,0.687820,"Brings 8.6 years of production retrieval experience as Lead AI Engineer at Meta. At Meta, they worked on: 'Designed three successive ranker variants and ran them in A/B testing alongside the legacy keyword system.'"
CAND_0037980,48,0.687549,"Demonstrates competent backend/ML execution as Senior Applied Scientist over 9.0 years, with work at Niramai. At Niramai, they worked on: 'Designed the ranking layer for the company's flagship product: how do we surface the right thing at the rig...'"
CAND_0044883,49,0.687078,"Possesses 6.3 years of professional background as AI Engineer, highlighting contributions at Mad Street Den. At Mad Street Den, they worked on: 'Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and ...'"
CAND_0048558,50,0.686997,"Competent Data Scientist with 6.7 years of experience, notably shipping features at Rephrase.ai. At Paytm, they worked on: 'Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, ...'"
CAND_0055992,51,0.682964,"Presents 16.9 years of general engineering experience as AI Engineer, with tenure at CRED. At CRED, they worked on: 'Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and ...' Note: experience of 16.9 years falls outside core range and fit sits slightly below core target ranking band."
CAND_0007412,52,0.682537,"Provides 7.4 years of experience, including production systems exposure at Swiggy and LinkedIn. At Zoho, they worked on: 'Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and ...' Note: notice period is high at 120 days and fit sits slightly below core target ranking band."
CAND_0064904,53,0.682382,"Maintains 4.9 years of developer experience, with background at LinkedIn. At LinkedIn, they worked on: 'Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration...' Note: experience of 4.9 years falls outside core range and fit sits slightly below core target ranking band."
CAND_0031593,54,0.681449,"Presents 7.8 years of general engineering experience as Search Engineer, with tenure at Genpact AI. At Genpact AI, they worked on: 'Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to...' Note: fit sits slightly below core target ranking band."
CAND_0058575,55,0.679697,"Provides 5.8 years of experience, including production systems exposure at Uber. At Krutrim, they worked on: 'Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nea...' Note: fit sits slightly below core target ranking band."
CAND_0067866,56,0.679553,"Maintains 6.4 years of developer experience as Senior Software Engineer (ML), with background at Tech Mahindra. At Tech Mahindra, they worked on: 'Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, ...' Note: fit sits slightly below core target ranking band."
CAND_0081852,57,0.678678,"Presents 5.9 years of general engineering experience as Senior Data Scientist, with tenure at Mad Street Den. At Mad Street Den, they worked on: 'Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and ...' Note: fit sits slightly below core target ranking band."
CAND_0075574,58,0.678391,"Provides 5.7 years of experience working as Machine Learning Engineer, including work at Haptik. At Haptik, they worked on: 'Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to...' Note: fit sits slightly below core target ranking band."
CAND_0064326,59,0.677852,"Maintains 7.6 years of developer experience as Search Engineer, with background at Sarvam AI. At Sarvam AI, they worked on: 'Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to...' Note: fit sits slightly below core target ranking band."
CAND_0029367,60,0.677833,"Presents 5.7 years of general engineering experience as Senior Data Scientist, with tenure at Rephrase.ai. At Rephrase.ai, they worked on: 'Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nea...' Note: fit sits slightly below core target ranking band."
CAND_0005538,61,0.676053,"Provides 5.9 years of experience, including production systems exposure at Google. At Adobe, they worked on: 'Most of the technical effort went into the boring-but-essential parts: index refresh, query understanding, ...' Note: based in Kolkata, West Bengal with no relocation preference and fit sits slightly below core target ranking band."
CAND_0066376,62,0.675244,"Maintains 5.7 years of developer experience as Applied ML Engineer, with background at Dream11. At Dream11, they worked on: 'Built a content recommendation system serving 10M+ users that combined collaborative filtering with content...' Note: fit sits slightly below core target ranking band."
CAND_0052682,63,0.674468,"Presents 6.6 years of general engineering experience as NLP Engineer, with tenure at Aganitha. At Aganitha, they worked on: 'Built a content recommendation system serving 10M+ users that combined collaborative filtering with content...' Note: based in Vizag, Andhra Pradesh with no relocation preference and fit sits slightly below core target ranking band."
CAND_0018549,64,0.674432,"Provides 6.8 years of experience, including production systems exposure at Uber and Flipkart. At Uber, they worked on: 'Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to...' Note: fit sits slightly below core target ranking band."
CAND_0040117,65,0.674115,"Maintains 6.5 years of developer experience as Recommendation Systems Engineer, with background at PhonePe. At PhonePe, they worked on: 'Built a content recommendation system serving 10M+ users that combined collaborative filtering with content...' Note: based in Vizag, Andhra Pradesh with no relocation preference and fit sits slightly below core target ranking band."
CAND_0098952,66,0.673418,"Presents 5.5 years of general engineering experience as AI Research Engineer, with tenure at CRED. At Rephrase.ai, they worked on: 'Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, ...' Note: fit sits slightly below core target ranking band."
CAND_0037944,67,0.673240,"Provides 4.9 years of experience working as Senior Data Scientist, including work at Vedantu. At Vedantu, they worked on: 'Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.' Note: based in Jaipur, Rajasthan with no relocation preference and experience of 4.9 years falls outside core range."
CAND_0075439,68,0.673144,"Maintains 4.3 years of developer experience, with background at Flipkart. At Flipkart, they worked on: 'Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and ...' Note: based in Vizag, Andhra Pradesh with no relocation preference and experience of 4.3 years falls outside core range."
CAND_0081053,69,0.671937,"Presents 5.4 years of general engineering experience as NLP Engineer, with tenure at Glance. At Glance, they worked on: 'Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration...' Note: fit sits slightly below core target ranking band."
CAND_0051004,70,0.671878,"Provides 4.7 years of experience working as Senior Data Scientist, including work at CRED. At CRED, they worked on: 'Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and ...' Note: experience of 4.7 years falls outside core range and fit sits slightly below core target ranking band."
CAND_0007411,71,0.671416,"Maintains 8.0 years of developer experience, with background at Amazon. At Amazon, they worked on: 'Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → emb...' Note: fit sits slightly below core target ranking band."
CAND_0039383,72,0.669783,"Presents 7.1 years of engineering experience with production systems at Swiggy. At Meesho, they worked on: 'Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.' Note: fit sits slightly below core target ranking band."
CAND_0081686,73,0.669701,"Provides 6.0 years of experience, including production systems exposure at Netflix. At Netflix, they worked on: 'Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to...' Note: based in Austin with no relocation preference and fit sits slightly below core target ranking band."
CAND_0079284,74,0.669488,"Maintains 4.9 years of developer experience, with background at Google and Swiggy. At Google, they worked on: 'Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.' Note: experience of 4.9 years falls outside core range and fit sits slightly below core target ranking band."
CAND_0053591,75,0.669091,"Presents 5.3 years of engineering experience with production systems at Swiggy. At Ola, they worked on: 'Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.' Note: based in Toronto with no relocation preference and fit sits slightly below core target ranking band."
CAND_0098846,76,0.669040,"Provides 7.6 years of experience, including production systems exposure at Swiggy and Google. At upGrad, they worked on: 'Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to...' Note: fit sits slightly below core target ranking band."
CAND_0070398,77,0.668790,"Maintains 7.2 years of developer experience, with background at Uber. At Genpact AI, they worked on: 'Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nea...' Note: notice period is high at 120 days and fit sits slightly below core target ranking band."
CAND_0089552,78,0.667033,"Presents 6.0 years of engineering experience with production systems at Netflix. At Netflix, they worked on: 'Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and ...' Note: notice period is high at 120 days and fit sits slightly below core target ranking band."
CAND_0006557,79,0.666751,"Provides 7.9 years of experience working as NLP Engineer, including work at Paytm. At Paytm, they worked on: 'Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to...' Note: notice period is high at 120 days and fit sits slightly below core target ranking band."
CAND_0018722,80,0.665890,"Maintains 6.6 years of developer experience, with background at Swiggy. At Saarthi.ai, they worked on: 'Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nea...' Note: fit sits slightly below core target ranking band."
CAND_0051292,81,0.665667,"Presents borderline fit as Applied ML Engineer with 5.2 years of experience at Freshworks. At Freshworks, they worked on: 'Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to...' Note: based in Trivandrum, Kerala with no relocation preference and included at the margin of the top 100 below the main cutoff."
CAND_0054123,82,0.665430,"Borderline profile offering 4.7 years of systems experience at Meta. At Meta, they worked on: 'Built a content recommendation system serving 10M+ users that combined collaborative filtering with content...' Note: experience of 4.7 years falls outside core range and included at the margin of the top 100 below the main cutoff."
CAND_0044222,83,0.664997,"Marginal candidate presenting 7.7 years of experience as AI Engineer at PolicyBazaar. At PolicyBazaar, they worked on: 'Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nea...' Note: based in Vizag, Andhra Pradesh with no relocation preference and included at the margin of the top 100 below the main cutoff."
CAND_0089947,84,0.664523,"Presents borderline fit as Junior ML Engineer with 5.4 years of experience at Saarthi.ai. Technical skills feature key JD technologies including Elasticsearch, Information Retrieval, Recommendation Systems. Note: included at the margin of the top 100 below the main cutoff."
CAND_0040887,85,0.664057,"Borderline profile offering 4.7 years of systems experience at Netflix. At Netflix, they worked on: 'Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nea...' Note: based in Toronto with no relocation preference and experience of 4.7 years falls outside core range."
CAND_0011432,86,0.663534,"Marginal candidate presenting 7.6 years of experience with production systems at Amazon. At Amazon, they worked on: 'Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.' Note: based in Chennai, Tamil Nadu with no relocation preference and included at the margin of the top 100 below the main cutoff."
CAND_0007460,87,0.662568,"Presents borderline fit as AI Engineer with 4.7 years of experience at Salesforce. At Salesforce, they worked on: 'Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to...' Note: notice period is high at 120 days and experience of 4.7 years falls outside core range."
CAND_0057563,88,0.662450,"Borderline profile offering 6.8 years of experience as NLP Engineer at Locobuzz. At Locobuzz, they worked on: 'Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to...' Note: included at the margin of the top 100 below the main cutoff."
CAND_0030031,89,0.661917,"Marginal candidate presenting 5.7 years of experience with production systems at Amazon and Google. At Microsoft, they worked on: 'Built a content recommendation system serving 10M+ users that combined collaborative filtering with content...' Note: based in Trivandrum, Kerala with no relocation preference and included at the margin of the top 100 below the main cutoff."
CAND_0096172,90,0.661291,"Presents borderline fit as NLP Engineer with 5.2 years of experience at Krutrim. At Krutrim, they worked on: 'Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nea...' Note: based in Chennai, Tamil Nadu with no relocation preference and included at the margin of the top 100 below the main cutoff."
CAND_0008295,91,0.661097,"Borderline profile offering 6.5 years of experience as AI Research Engineer at Razorpay. Technical skills feature key JD technologies including Python, Weaviate. Note: included at the margin of the top 100 below the main cutoff."
CAND_0049896,92,0.660408,"Marginal candidate presenting 7.3 years of experience with production systems at Flipkart. At Unacademy, they worked on: 'Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and ...' Note: included at the margin of the top 100 below the main cutoff."
CAND_0037566,93,0.660292,"Presents borderline fit with 6.9 years of production-scale systems experience at LinkedIn. At LinkedIn, they worked on: 'Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) and ...' Note: included at the margin of the top 100 below the main cutoff."
CAND_0070514,94,0.659521,"Borderline profile offering 5.5 years of experience as AI Specialist at Glance. Technical skills feature key JD technologies including Pinecone, Python, FAISS. Note: included at the margin of the top 100 below the main cutoff."
CAND_0061175,95,0.658866,"Marginal candidate presenting 6.7 years of experience as AI Research Engineer at Haptik. At Haptik, they worked on: 'Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, ...' Note: notice period is high at 120 days and included at the margin of the top 100 below the main cutoff."
CAND_0009691,96,0.658183,"Presents borderline fit with 6.2 years of production-scale systems experience at LinkedIn and Amazon. At LinkedIn, they worked on: 'Built a content recommendation system serving 10M+ users that combined collaborative filtering with content...' Note: notice period is high at 120 days and included at the margin of the top 100 below the main cutoff."
CAND_0093193,97,0.657842,"Borderline profile offering 7.9 years of systems experience at Netflix. Technical skills feature key JD technologies including Ranking Systems, Qdrant, OpenSearch. Note: included at the margin of the top 100 below the main cutoff."
CAND_0060072,98,0.657521,"Marginal candidate presenting 5.7 years of experience with production systems at Amazon. At Amazon, they worked on: 'Built and shipped a production recommendation system at a marketplace product, going from offline experimen...' Note: included at the margin of the top 100 below the main cutoff."
CAND_0061339,99,0.657262,"Presents borderline fit as Search Engineer with 4.2 years of experience at Rephrase.ai. At Rephrase.ai, they worked on: 'Built a content recommendation system serving 10M+ users that combined collaborative filtering with content...' Note: experience of 4.2 years falls outside core range and included at the margin of the top 100 below the main cutoff."
CAND_0093912,100,0.656150,"Borderline profile offering 5.3 years of systems experience at Flipkart. At Razorpay, they worked on: 'Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to...' Note: based in Chandigarh, Chandigarh with no relocation preference and included at the margin of the top 100 below the main cutoff."
